"mbeanName","attributeName","attributeType","compositeAttributeName"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsageThreshold","long"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsageThresholdCount","long"
"java.lang:name=PS Survivor Space,type=MemoryPool","MemoryManagerNames","[Ljava.lang.String;"
"java.lang:name=PS Survivor Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Survivor Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Survivor Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Survivor Space,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Survivor Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=PS Survivor Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","init"
"java.lang:name=PS Survivor Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","max"
"java.lang:name=PS Survivor Space,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","used"
"java.lang:name=PS Survivor Space,type=MemoryPool","UsageThreshold","long"
"java.lang:name=PS Survivor Space,type=MemoryPool","UsageThresholdCount","long"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsageThresholdExceeded","boolean"
"java.lang:name=PS Survivor Space,type=MemoryPool","CollectionUsageThresholdSupported","boolean"
"java.lang:name=PS Survivor Space,type=MemoryPool","UsageThresholdExceeded","boolean"
"java.lang:name=PS Survivor Space,type=MemoryPool","UsageThresholdSupported","boolean"
"java.lang:name=PS Survivor Space,type=MemoryPool","ObjectName","javax.management.ObjectName"
"java.lang:type=ClassLoading","LoadedClassCount","int"
"java.lang:type=ClassLoading","UnloadedClassCount","long"
"java.lang:type=ClassLoading","TotalLoadedClassCount","long"
"java.lang:type=ClassLoading","Verbose","boolean"
"java.lang:type=ClassLoading","ObjectName","javax.management.ObjectName"
"java.lang:name=Metaspace Manager,type=MemoryManager","Name","java.lang.String"
"java.lang:name=Metaspace Manager,type=MemoryManager","Valid","boolean"
"java.lang:name=Metaspace Manager,type=MemoryManager","MemoryPoolNames","[Ljava.lang.String;"
"java.lang:name=Metaspace Manager,type=MemoryManager","ObjectName","javax.management.ObjectName"
"java.lang:name=PS MarkSweep,type=GarbageCollector","CollectionCount","long"
"java.lang:name=PS MarkSweep,type=GarbageCollector","CollectionTime","long"
"java.lang:name=PS MarkSweep,type=GarbageCollector","Name","java.lang.String"
"java.lang:name=PS MarkSweep,type=GarbageCollector","Valid","boolean"
"java.lang:name=PS MarkSweep,type=GarbageCollector","MemoryPoolNames","[Ljava.lang.String;"
"java.lang:name=PS MarkSweep,type=GarbageCollector","ObjectName","javax.management.ObjectName"
"com.sun.management:type=HotSpotDiagnostic","DiagnosticOptions","[Ljavax.management.openmbean.CompositeData;"
"com.sun.management:type=HotSpotDiagnostic","ObjectName","javax.management.ObjectName"
